x, y
0.0000025130985919093396, 0
0.00009675393628824438, 0
0.00009863872428214987, 58909.39778673276
0.00010115182287405925, 119766.25972849899
0.00010492144679523886, 180623.02881006338
0.00010931938131442248, 248782.88133320515
0.00011497379322950758, 309639.74327497114
0.00012188482634060038, 365628.0376893559
0.00013256543543950427, 387536.35941206873
0.0001445026178010471, 368062.3678831477
0.00015643980016259005, 316942.5481359428
0.00016712040926149382, 273125.6261099116
0.0001778010183603976, 224440.1365564987
0.0001909947739845796, 175754.64700308559
0.00020670158026730206, 127069.15744967246
0.00022303664921465968, 85686.56561743305
0.00024314134208319702, 54040.92311955313
0.00026764396947091785, 27263.941009256872
0.000287748710272824, 12658.331287313718
0.0003103664537999018, 5355.433566140127
0.00033486912912099147, 486.9588989603799
