x, y
0.000023014959723820482, -268817.20430107525
0.00020713463751438434, 5913978.494623655
0.00043728423475258914, 11827956.98924731
0.0005753739930955121, 16397849.46236559
0.0008285385500575374, 21774193.548387095
0.0010356731875719217, 26075268.8172043
0.0012197928653624856, 30107526.881720427
0.0014039125431530494, 33333333.333333332
0.0016340621403912543, 35483870.96774194
0.0018411967779056386, 37365591.39784946
0.002002301495972382, 38440860.21505376
0.0021634062140391255, 38440860.21505376
