x, y
0, 0
0.00009453781058025466, 0
0.00009579834357197491, 106383.18830489856
0.00009768907093292977, 199226.27685159235
0.00010021008883195331, 319149.1406495357
0.00010273110673097687, 431334.58850028715
0.00010588236708365198, 555125.8651308466
0.0001102941123436304, 675048.4337878095
0.0001165966330489807, 764023.4046428686
0.00012226891130067945, 818181.7745814463
0.00012857143200602976, 833655.7210528888
0.00013613448570310032, 810444.948916215
0.00014558826676112585, 752417.8710040413
0.00015441175728108265, 678916.8466204249
0.00016386553833910806, 589942.170906347
0.00017394960993520218, 500967.20005128835
0.00018529411835418257, 404255.4035309986
0.00019789915976488318, 326885.96631476656
0.00021113444362923545, 249516.5290985352
0.00022689074539261126, 183752.62552113016
0.00024516806505501057, 125725.547608956
0.000264705869624713, 87040.82900084066
0.0002855042071861359, 56092.93605795596
0.00030504201175583854, 44487.40241912822
0.0003252100587791927, 36750.57675389736
0.00034789917178598744, 32882.16392128228
0.00036995799425471347, 25145.04311507079
0.0003951680770761148, 17408.217449839343
0.00041974786935944743, 13539.804617224261
0.0004449579521808486, 5802.683811012772
