x, y
0.000027137042062415198, 0
0.000013568521031207599, -2146050.6706408346
-0.00008141112618724559, -5365126.676602086
-0.000271370420624152, -8941877.79433681
-0.00044776119402985075, -12876304.023845008
-0.0006241519674355495, -17645305.514157973
-0.0007869742198100407, -21937406.85543964
-0.0009633649932157396, -25871833.08494784
-0.0011126187245590231, -28375558.867362145
-0.0012618724559023066, -32906110.28315946
-0.001519674355495251, -35409836.06557377
-0.001723202170963365, -38867362.14605067
-0.0019674355495251017, -41728763.04023845
-0.0021845318860244235, -44590163.934426226
-0.0024559023066485753, -47332339.79135618
-0.0026865671641791047, -49478390.46199702
-0.0028629579375848034, -50789865.87183308
-0.003215739484396201, -51624441.13263785
-0.0034599728629579377, -51982116.24441133
-0.0037584803256445047, -51982116.24441133
-0.004056987788331072, -51743666.16989568
-0.004328358208955224, -51505216.09538003
-0.004694708276797829, -51266766.02086438
-0.004993215739484396, -51147540.983606555
-0.005291723202170964, -50789865.87183308
-0.005712347354138399, -50193740.68554396
-0.006390773405698779, -48882265.27570789
-0.00689280868385346, -47690014.90312965
-0.007381275440976933, -46736214.60506706
-0.007896879240162823, -46020864.381520115
-0.008534599728629579, -45424739.195231
-0.009172320217096337, -44947839.0461997
-0.009782903663500679, -44351713.85991058
