x, y
0, 0
0.00009361256755309034, 2998065.7566910693
0.00009801050172092761, 2887814.441471381
0.00010178012534095606, 2777562.9048959566
0.00010554974896098442, 2661508.7490716088
0.00010869110996656884, 2539651.973998338
0.00011308899620104112, 2411992.3583204085
0.00011623035720662564, 2284332.2999310084
0.00012125655398890674, 2139264.6051505734
0.00012628275077118794, 1941972.8944183597
0.0001325654727823568, 1721470.042623246
0.0001401047200224136, 1489361.7309745513
0.00014952880303916707, 1222437.261120846
0.00015958114867036438, 984526.3302232272
0.00017403142846939904, 705996.1791602047
0.0001878533977206247, 508704.025716519
0.0002054450385252438, 340425.41122892126
0.00022743456556433507, 206963.3976578042
0.00025193719099456704, 119922.78078954294
0.00027455498064810226, 79303.56062413892
0.0002984293434638903, 56093.0836284461
0.0003235602315085661, 38684.783170205425
0.0003505759553299385, 32882.16392128274
0.00038261778006686226, 21276.482711965567
0.000408376978659347, 15473.863463041955
