x, y
0, 0
-0.000054274084124830395, -2980625.9314456033
-0.0001763907734056988, -7391952.309985097
-0.00046132971506105834, -15260804.76900149
-0.0007734056987788331, -22295081.967213113
-0.000949796472184532, -26229508.19672131
-0.0011940298507462687, -30163934.426229507
-0.0013975576662143827, -33740685.54396423
-0.0016553595658073271, -37317436.66169895
-0.0018453188602442334, -40298062.59314456
-0.0020488466757123476, -42563338.30104322
-0.002265943012211669, -43874813.71087928
-0.002469470827679783, -44590163.934426226
-0.00271370420624152, -44709388.97168405
-0.003039348710990502, -44709388.97168405
-0.0032428765264586163, -44709388.97168405
-0.0033649932157394846, -44232488.82265276
-0.0035413839891451832, -43397913.561847985
-0.003744911804613297, -42324888.22652757
-0.0039620081411126185, -41132637.85394933
-0.004151967435549526, -39701937.406855434
-0.004382632293080054, -38509687.03427719
-0.004599728629579376, -37198211.62444113
-0.00480325644504749, -36363636.36363636
-0.0050474898236092264, -35409836.06557377
-0.005291723202170964, -34694485.84202682
-0.0055359565807327005, -34098360.655737706
-0.005983717774762551, -32786885.245901637
-0.006689280868385346, -31833084.947839044
-0.007137042062415197, -31833084.947839044
-0.00791044776119403, -30521609.53800298
-0.008968792401628223, -29687034.27719821
-0.009810040705563093, -28614008.941877794
-0.01023066485753053, -28494783.90461997
